Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Weather_Condition,Weather_Condition
58.0,37.0,29.08,10.0,9,9
68.0,87.0,30.16,5.0,20,20
62.0,60.0,29.43,10.0,9,9
54.0,54.0,30.07,10.0,9,9
66.0,75.0,29.79,10.0,9,9
45.0,49.0,27.65,10.0,9,9
74.0,82.0,29.25,10.0,5,5
59.0,88.0,29.9,3.0,37,37
51.0,59.0,29.89,10.0,51,51
46.0,44.0,30.25,10.0,4,4
64.0,67.0,29.86,10.0,84,84
71.0,100.0,30.0,3.0,51,51
69.8,68.0,30.04,10.0,4,4
34.0,73.0,26.12,10.0,9,9
61.0,78.0,30.08,10.0,5,5
28.0,92.0,26.44,0.25,11,11
68.0,63.0,29.94,10.0,64,64
39.0,57.0,29.81,10.0,51,51
96.0,22.0,29.02,10.0,9,9
49.0,77.0,30.04,10.0,5,5
70.0,38.0,29.09,10.0,9,9
49.0,77.0,29.82,10.0,9,9
70.0,87.0,29.12,10.0,37,37
54.0,77.0,30.11,10.0,4,4
66.0,43.0,29.53,10.0,9,9
53.0,61.0,29.74,10.0,9,9
64.0,67.0,29.86,10.0,84,84
76.0,22.0,25.6,10.0,51,51
95.0,28.0,29.02,10.0,9,9
72.0,31.0,29.83,10.0,9,9
69.0,93.0,29.97,1.0,11,11
82.0,54.0,29.93,10.0,51,51
43.0,62.0,25.58,10.0,56,56
47.0,42.0,30.14,10.0,51,51
68.0,87.0,29.18,8.0,9,9
50.0,66.0,30.05,10.0,4,4
65.0,27.0,29.34,10.0,9,9
39.0,82.0,29.16,9.0,5,5
64.0,54.0,30.01,10.0,64,64
48.9,61.0,30.1,10.0,4,4
73.0,96.0,30.07,10.0,4,4
61.0,44.0,29.94,10.0,9,9
64.0,67.0,29.86,10.0,84,84
75.4,39.0,29.88,10.0,4,4
32.5,91.0,29.77,10.0,4,4
29.0,89.0,28.95,6.0,5,5
65.0,34.0,29.01,10.0,9,9
72.0,55.0,29.86,10.0,4,4
79.0,79.0,29.77,10.0,5,5
69.0,93.0,29.79,10.0,37,37
35.0,37.0,29.07,10.0,9,9
61.0,58.0,28.97,10.0,51,51
33.1,66.0,30.12,10.0,4,4
63.0,78.0,29.0,10.0,51,51
23.0,71.0,30.63,10.0,4,4
53.0,86.0,29.24,2.0,20,20
65.0,78.0,30.11,10.0,9,9
23.0,78.0,29.58,1.0,44,44
98.0,8.0,27.49,10.0,10,10
47.0,84.0,28.85,10.0,9,9
49.0,90.0,29.63,1.0,20,20
37.0,93.0,28.34,10.0,9,9
64.0,67.0,29.86,10.0,84,84
66.0,78.0,30.09,10.0,4,4
71.0,78.0,30.07,10.0,9,9
79.0,52.0,29.66,10.0,56,56
73.0,25.0,29.89,10.0,9,9
67.0,18.0,29.71,9.0,6,6
79.0,58.0,30.12,10.0,9,9
72.0,41.0,29.88,10.0,9,9
68.0,59.0,29.99,10.0,51,51
88.0,49.0,29.21,10.0,51,51
59.0,64.0,30.32,10.0,56,56
60.0,98.0,29.54,0.5,11,11
66.0,54.0,29.47,10.0,51,51
66.0,96.0,29.97,10.0,51,51
81.0,48.0,28.84,10.0,9,9
77.0,74.0,29.99,10.0,9,9
82.9,77.0,30.02,10.0,56,56
77.0,40.0,29.35,10.0,9,9
14.0,64.0,20.71,8.0,5,5
84.9,85.0,29.92,10.0,54,54
83.0,24.0,28.45,10.0,9,9
64.0,43.0,29.38,10.0,5,5
69.8,100.0,30.07,10.0,4,4
33.8,87.0,30.02,7.0,51,51
80.0,24.0,30.03,10.0,9,9
56.0,57.0,29.57,10.0,5,5
73.0,84.0,29.55,10.0,9,9
53.0,93.0,29.46,7.0,5,5
52.0,26.0,29.79,10.0,9,9
3.9,43.0,30.38,10.0,56,56
58.0,44.0,25.09,10.0,9,9
72.0,78.0,29.98,10.0,51,51
86.0,25.0,29.85,10.0,56,56
91.0,44.0,29.65,10.0,9,9
18.0,57.0,29.75,10.0,5,5
60.1,80.0,30.2,6.0,17,17
45.0,90.0,30.22,7.0,37,37
72.0,19.0,30.07,10.0,9,9
48.0,96.0,30.09,2.0,11,11
47.1,46.0,29.95,10.0,4,4
38.0,84.0,30.11,10.0,9,9
70.0,63.0,29.3,10.0,9,9
60.0,64.0,28.85,10.0,51,51
82.0,58.0,29.97,10.0,51,51
85.0,41.0,29.77,10.0,9,9
30.0,88.0,29.55,3.0,5,5
53.1,71.0,30.28,10.0,54,54
37.0,65.0,30.34,10.0,4,4
54.0,58.0,29.95,10.0,9,9
61.0,68.0,29.13,10.0,9,9
70.0,90.0,30.1,9.0,56,56
81.0,77.0,29.93,10.0,51,51
62.0,56.0,30.13,10.0,9,9
62.0,62.0,29.9,10.0,9,9
73.0,100.0,28.72,7.0,81,81
59.0,64.0,30.01,10.0,9,9
55.9,97.0,29.83,10.0,51,51
59.0,67.0,28.99,7.0,5,5
53.0,24.0,28.97,10.0,56,56
62.1,72.0,29.93,10.0,51,51
81.0,62.0,28.91,10.0,9,9
59.0,87.0,30.03,10.0,9,9
90.0,50.0,28.94,10.0,9,9
88.0,53.0,30.02,10.0,56,56
59.0,67.0,29.81,10.0,9,9
90.0,23.0,29.38,10.0,9,9
36.0,67.0,29.25,10.0,5,5
32.0,48.0,30.33,10.0,4,4
69.0,44.0,29.94,10.0,9,9
40.0,55.0,29.1,10.0,9,9
59.0,100.0,29.33,0.5,37,37
86.0,37.0,30.1,10.0,51,51
60.0,80.0,30.02,10.0,5,5
50.0,66.0,29.24,10.0,9,9
72.0,81.0,29.19,10.0,51,51
51.0,89.0,29.19,8.0,9,9
27.0,100.0,27.32,10.0,5,5
68.0,33.0,29.43,10.0,9,9
75.9,48.0,29.85,10.0,4,4
73.0,78.0,29.35,10.0,51,51
64.0,67.0,29.93,2.0,5,5
61.0,79.0,29.15,10.0,5,5
61.0,78.0,29.99,10.0,54,54
107.0,17.0,29.42,10.0,9,9
48.2,100.0,29.86,2.5,54,54
73.0,76.0,30.06,10.0,64,64
66.2,49.0,30.06,10.0,4,4
53.0,96.0,29.8,0.12,11,11
60.8,77.0,30.38,30.0,56,56
42.0,40.0,28.7,10.0,9,9
69.1,84.0,29.64,10.0,54,54
59.0,46.0,29.91,10.0,9,9
66.0,70.0,29.91,9.0,54,54
76.0,79.0,27.09,10.0,51,51
75.9,45.0,29.96,10.0,4,4
69.0,90.0,29.81,6.0,5,5
70.0,81.0,29.95,10.0,4,4
42.0,47.0,29.67,10.0,9,9
28.0,63.0,29.9,10.0,4,4
52.0,93.0,29.11,10.0,9,9
60.0,36.0,29.6,4.0,17,17
67.0,73.0,29.8,10.0,51,51
86.0,43.0,29.88,10.0,4,4
78.1,76.0,29.98,10.0,56,56
87.0,40.0,29.86,10.0,9,9
54.0,69.0,28.9,10.0,56,56
62.0,35.0,29.82,10.0,9,9
57.0,93.0,29.64,8.0,37,37
84.0,11.0,25.96,10.0,9,9
53.0,58.0,29.47,10.0,5,5
23.0,78.0,27.18,10.0,5,5
28.0,78.0,29.68,9.0,9,9
71.6,88.0,30.17,5.0,51,51
87.0,66.0,30.01,10.0,56,56
58.8,87.0,30.17,10.0,4,4
42.0,47.0,30.16,10.0,9,9
66.9,66.0,30.03,10.0,4,4
84.0,56.0,29.88,10.0,56,56
87.0,43.0,30.06,10.0,56,56
85.0,48.0,29.59,9.0,9,9
36.0,97.0,24.75,8.0,37,37
47.0,100.0,28.93,0.75,20,20
68.0,12.0,30.2,10.0,4,4
46.0,66.0,30.12,10.0,9,9
79.0,74.0,30.18,10.0,4,4
67.0,32.0,29.84,10.0,9,9
86.0,77.0,29.97,10.0,51,51
59.0,69.0,28.87,8.0,5,5
79.0,84.0,29.17,10.0,51,51
37.0,67.0,29.89,10.0,5,5
91.0,59.0,29.95,10.0,56,56
54.0,97.0,29.61,3.0,37,37
64.0,67.0,30.03,10.0,51,51
84.0,72.0,30.07,10.0,4,4
67.0,81.0,30.11,10.0,9,9
70.0,49.0,28.64,10.0,9,9
31.0,85.0,29.82,10.0,9,9
45.0,71.0,29.49,10.0,9,9
48.0,63.0,29.38,10.0,9,9
51.0,63.0,30.04,10.0,51,51
78.0,58.0,29.86,10.0,9,9
78.0,52.0,29.18,10.0,56,56
93.9,49.0,29.99,10.0,4,4
64.0,67.0,29.86,10.0,84,84
53.0,50.0,29.82,10.0,9,9
59.0,94.0,29.56,2.0,59,59
84.0,72.0,30.01,10.0,9,9
51.8,35.0,30.3,10.0,4,4
76.0,74.0,29.04,10.0,51,51
59.0,81.0,29.95,10.0,5,5
41.0,100.0,29.7,10.0,29,29
30.0,61.0,30.23,9.0,4,4
21.0,71.0,30.2,10.0,54,54
75.0,84.0,29.56,10.0,9,9
66.0,63.0,29.89,10.0,56,56
51.1,23.0,30.0,10.0,51,51
89.0,12.0,25.03,10.0,56,56
61.0,90.0,30.06,10.0,54,54
77.0,96.0,29.58,6.0,9,9
64.0,21.0,29.95,10.0,9,9
47.0,48.0,30.17,10.0,9,9
62.8,46.0,30.17,10.0,4,4
38.0,83.0,29.2,10.0,5,5
66.0,59.0,30.09,10.0,51,51
75.0,64.0,29.89,10.0,9,9
70.0,84.0,30.11,10.0,56,56
52.0,32.0,29.62,10.0,9,9
75.0,55.0,29.99,10.0,4,4
31.1,92.0,29.89,10.0,4,4
30.0,40.0,29.93,10.0,4,4
32.0,69.0,29.8,10.0,9,9
82.4,45.0,30.15,10.0,4,4
68.0,65.0,29.85,10.0,5,5
76.0,69.0,29.58,10.0,9,9
69.0,75.0,29.73,10.0,5,5
74.0,62.0,29.45,10.0,9,9
55.0,59.0,29.33,10.0,9,9
32.0,66.0,29.45,10.0,56,56
70.0,31.0,29.94,10.0,51,51
73.0,68.0,29.97,10.0,56,56
52.0,66.0,30.0,10.0,9,9
73.0,87.0,29.33,10.0,37,37
72.0,93.0,29.73,10.0,54,54
30.0,85.0,25.46,10.0,5,5
97.0,32.0,29.94,10.0,56,56
72.0,68.0,29.83,10.0,54,54
32.0,85.0,25.68,0.75,11,11
47.0,90.0,28.81,3.0,37,37
78.0,33.0,29.51,10.0,9,9
59.0,87.0,29.76,10.0,9,9
48.0,86.0,30.17,10.0,54,54
86.0,36.0,29.14,10.0,9,9
18.0,36.0,29.91,10.0,9,9
86.0,48.0,30.06,10.0,51,51
74.0,34.0,29.38,10.0,9,9
58.0,67.0,30.0,10.0,9,9
77.0,74.0,30.15,10.0,5,5
57.0,73.0,29.55,10.0,5,5
64.0,67.0,29.04,10.0,5,5
73.0,64.0,29.86,10.0,9,9
57.0,88.0,29.69,10.0,5,5
63.0,38.0,30.04,10.0,9,9
77.0,56.0,29.87,9.0,56,56
55.0,89.0,29.89,7.0,54,54
64.0,80.0,30.1,10.0,9,9
45.0,42.0,30.49,10.0,84,84
79.0,50.0,30.13,10.0,64,64
73.0,87.0,30.14,10.0,64,64
88.0,21.0,26.37,10.0,10,10
66.0,20.0,30.01,10.0,56,56
70.0,61.0,30.03,10.0,4,4
73.0,73.0,30.09,10.0,5,5
45.0,90.0,30.18,7.0,5,5
66.9,70.0,30.16,7.0,54,54
63.0,77.0,28.84,10.0,5,5
29.0,58.0,29.38,10.0,9,9
86.0,17.0,28.66,7.0,9,9
10.0,84.0,30.23,10.0,4,4
89.0,14.0,28.32,10.0,9,9
45.0,39.0,26.83,10.0,9,9
77.0,76.0,30.11,10.0,5,5
82.0,60.0,29.92,10.0,54,54
63.0,42.0,24.43,50.0,51,51
42.0,38.0,30.38,10.0,51,51
95.0,36.0,29.29,8.0,9,9
64.0,26.0,25.14,10.0,9,9
77.0,71.0,28.77,10.0,6,6
83.0,41.0,27.16,10.0,5,5
46.0,50.0,30.42,10.0,56,56
70.0,78.0,29.34,10.0,51,51
60.1,80.0,29.96,7.0,51,51
85.0,67.0,29.28,10.0,9,9
76.0,46.0,29.78,10.0,9,9
91.0,55.0,29.63,10.0,78,78
57.0,96.0,29.93,3.0,5,5
64.4,73.0,29.94,3.0,69,69
72.0,76.0,29.91,10.0,54,54
39.0,49.0,29.61,10.0,56,56
62.0,56.0,29.4,10.0,9,9
88.0,46.0,29.99,10.0,9,9
37.0,93.0,30.27,10.0,54,54
69.0,37.0,29.16,10.0,9,9
74.7,80.0,29.96,10.0,4,4
31.0,100.0,28.34,1.0,44,44
57.0,88.0,29.08,10.0,9,9
101.0,15.0,29.27,10.0,9,9
93.0,49.0,30.04,10.0,64,64
86.0,36.0,30.14,10.0,4,4
34.0,92.0,28.9,5.0,44,44
75.0,100.0,30.04,10.0,56,56
61.0,64.0,30.3,10.0,5,5
65.0,25.0,25.58,10.0,9,9
54.0,93.0,29.88,1.2,59,59
67.0,52.0,28.78,10.0,9,9
39.9,97.0,30.43,0.2,11,11
70.0,90.0,29.44,10.0,37,37
60.1,69.0,30.05,10.0,56,56
50.0,80.0,29.79,10.0,51,51
42.0,85.0,30.16,8.0,37,37
72.0,73.0,29.32,10.0,51,51
66.9,73.0,30.07,10.0,4,4
67.0,53.0,29.95,10.0,5,5
48.2,66.0,30.22,20.0,51,51
75.0,44.0,29.94,10.0,9,9
68.0,78.0,29.82,9.0,5,5
44.0,58.0,29.54,10.0,51,51
43.0,74.0,29.88,10.0,51,51
79.0,30.0,29.05,10.0,9,9
37.4,93.0,30.2,10.0,37,37
83.0,79.0,29.98,10.0,51,51
64.0,67.0,29.68,10.0,84,84
91.0,48.0,29.92,10.0,56,56
69.0,22.0,29.47,10.0,9,9
48.9,90.0,30.14,10.0,37,37
109.0,12.0,28.28,10.0,9,9
68.0,49.0,29.71,10.0,51,51
55.0,47.0,29.47,10.0,9,9
88.0,55.0,29.9,10.0,5,5
87.0,33.0,25.19,10.0,9,9
87.1,44.0,29.97,10.0,4,4
82.0,71.0,28.88,10.0,9,9
55.0,86.0,29.55,10.0,51,51
80.0,87.0,30.01,10.0,5,5
36.0,86.0,28.1,10.0,9,9
75.9,74.0,30.22,10.0,4,4
47.0,63.0,30.16,10.0,9,9
46.0,89.0,30.09,10.0,5,5
24.1,96.0,29.56,8.0,54,54
59.0,90.0,28.97,10.0,76,76
87.1,31.0,29.93,10.0,56,56
71.6,46.0,29.91,10.0,56,56
77.0,84.0,29.89,10.0,9,9
75.0,41.0,27.42,10.0,9,9
45.0,60.0,29.37,10.0,9,9
-23.1,78.0,30.4,10.0,56,56
83.0,33.0,30.02,10.0,56,56
24.1,75.0,30.08,10.0,44,44
19.0,88.0,29.05,7.0,9,9
59.0,81.0,30.3,10.0,5,5
67.0,73.0,29.31,10.0,56,56
36.0,86.0,30.26,10.0,4,4
35.0,89.0,28.49,10.0,9,9
64.0,67.0,29.95,10.0,84,84
79.0,74.0,29.93,10.0,54,54
84.0,49.0,29.72,10.0,56,56
57.0,51.0,28.97,10.0,9,9
55.9,100.0,30.23,1.5,20,20
64.0,67.0,29.96,8.0,54,54
78.8,69.0,29.97,10.0,4,4
68.0,84.0,29.38,10.0,5,5
39.0,76.0,30.31,9.0,54,54
33.0,43.0,26.98,10.0,9,9
38.0,53.0,30.02,10.0,9,9
39.0,67.0,29.37,10.0,9,9
77.9,60.0,29.95,10.0,54,54
55.0,47.0,30.19,6.0,17,17
63.0,37.0,29.88,10.0,9,9
43.0,76.0,29.25,10.0,9,9
55.0,83.0,29.48,10.0,5,5
21.0,74.0,30.19,10.0,9,9
62.6,42.0,30.09,60.0,51,51
85.0,55.0,29.82,10.0,51,51
80.0,42.0,29.86,10.0,9,9
14.0,59.0,29.59,10.0,56,56
100.0,25.0,28.62,10.0,51,51
66.0,73.0,29.26,10.0,51,51
45.9,66.0,30.25,10.0,64,64
39.0,60.0,30.16,10.0,64,64
77.0,89.0,29.26,0.75,20,20
47.0,63.0,29.66,10.0,51,51
34.0,64.0,29.44,10.0,9,9
73.0,87.0,29.76,10.0,37,37
80.0,69.0,29.96,10.0,9,9
70.0,31.0,29.02,10.0,9,9
52.0,94.0,29.94,6.0,37,37
66.0,40.0,29.92,10.0,56,56
38.0,89.0,29.56,8.0,9,9
58.0,65.0,29.94,10.0,51,51
75.0,57.0,29.78,10.0,4,4
66.0,13.0,29.77,10.0,9,9
53.6,94.0,30.03,2.0,54,54
34.0,70.0,28.62,10.0,9,9
48.2,43.0,30.24,10.0,56,56
68.0,59.0,29.99,10.0,9,9
46.0,79.0,30.05,10.0,9,9
75.0,94.0,29.06,9.0,51,51
82.9,41.0,30.06,10.0,51,51
93.0,54.0,29.56,10.0,9,9
73.0,90.0,29.93,10.0,56,56
62.0,53.0,29.26,10.0,9,9
39.0,57.0,30.38,10.0,37,37
64.9,70.0,30.04,10.0,56,56
63.0,81.0,29.79,10.0,51,51
66.0,63.0,29.94,10.0,9,9
75.9,79.0,30.05,10.0,51,51
81.0,69.0,30.19,10.0,56,56
80.6,58.0,30.23,10.0,4,4
30.9,52.0,30.0,10.0,4,4
45.0,63.0,28.87,10.0,5,5
19.0,90.0,29.12,0.75,44,44
75.9,79.0,30.18,10.0,4,4
48.0,77.0,29.9,10.0,9,9
82.0,48.0,28.91,10.0,9,9
30.0,88.0,28.96,4.0,44,44
52.0,32.0,30.21,10.0,64,64
30.0,88.0,30.38,4.0,51,51
48.0,28.0,30.57,10.0,64,64
81.0,58.0,29.92,7.0,4,4
74.0,46.0,29.33,10.0,9,9
75.0,90.0,29.37,10.0,5,5
73.4,53.0,30.04,10.0,54,54
49.0,86.0,29.93,10.0,56,56
53.1,77.0,30.0,10.0,4,4
26.6,80.0,29.89,10.0,54,54
63.0,21.0,29.21,10.0,9,9
85.0,72.0,30.0,10.0,9,9
41.0,89.0,29.74,5.0,9,9
35.1,50.0,30.33,10.0,56,56
89.1,57.0,30.04,10.0,64,64
49.0,78.0,29.83,10.0,9,9
64.0,67.0,29.86,10.0,84,84
73.0,53.0,30.01,10.0,4,4
80.0,55.0,29.3,10.0,9,9
82.0,85.0,30.04,10.0,56,56
37.0,100.0,29.91,0.38,11,11
69.1,93.0,29.86,10.0,4,4
86.0,55.0,30.05,10.0,9,9
73.0,82.0,28.93,10.0,51,51
86.0,31.0,29.63,10.0,51,51
79.0,69.0,30.12,10.0,64,64
26.6,31.0,30.46,10.0,4,4
62.0,84.0,29.89,10.0,5,5
43.0,89.0,30.02,7.0,37,37
86.0,65.0,29.92,10.0,51,51
76.0,91.0,29.48,10.0,5,5
59.0,90.0,30.08,10.0,54,54
61.0,36.0,28.33,10.0,9,9
75.0,94.0,28.8,10.0,5,5
41.0,39.0,27.55,10.0,9,9
71.6,50.0,29.87,10.0,4,4
12.0,80.0,29.47,10.0,51,51
28.0,75.0,30.22,10.0,54,54
86.0,40.0,28.58,10.0,9,9
54.0,100.0,29.96,1.0,11,11
82.0,74.0,30.07,10.0,56,56
79.0,77.0,29.99,10.0,51,51
61.0,93.0,29.12,2.0,37,37
82.4,94.0,30.14,5.0,51,51
39.0,56.0,28.96,10.0,51,51
53.0,83.0,30.01,4.0,37,37
58.0,81.0,29.69,10.0,5,5
82.0,74.0,29.78,10.0,51,51
41.0,97.0,29.78,10.0,9,9
67.0,52.0,29.0,10.0,56,56
62.0,78.0,29.41,10.0,51,51
71.0,45.0,29.44,10.0,9,9
53.6,77.0,30.22,10.0,4,4
27.0,75.0,29.28,10.0,5,5
76.0,45.0,29.7,10.0,9,9
96.0,17.0,28.39,10.0,9,9
61.0,94.0,29.93,10.0,9,9
64.0,60.0,29.95,10.0,56,56
91.0,11.0,29.73,10.0,9,9
60.1,86.0,30.01,10.0,54,54
79.0,58.0,29.98,10.0,4,4
40.0,97.0,29.04,7.0,37,37
82.0,89.0,29.92,10.0,5,5
47.0,74.0,26.2,10.0,9,9
74.0,100.0,30.05,10.0,37,37
81.0,74.0,30.04,10.0,4,4
50.0,59.0,29.49,10.0,9,9
73.0,42.0,29.81,10.0,56,56
70.0,49.0,24.56,10.0,9,9
36.0,81.0,29.42,1.0,44,44
78.0,40.0,29.99,10.0,9,9
57.2,63.0,30.03,10.0,4,4
74.0,85.0,29.79,10.0,9,9
47.0,42.0,30.45,10.0,9,9
61.0,44.0,29.83,10.0,56,56
72.0,93.0,29.92,10.0,9,9
62.0,39.0,29.97,10.0,9,9
68.0,81.0,29.91,10.0,54,54
72.0,83.0,29.29,7.0,9,9
79.0,66.0,29.8,10.0,9,9
68.0,68.0,29.89,10.0,56,56
91.9,48.0,30.01,10.0,4,4
72.0,44.0,29.76,10.0,57,57
71.0,47.0,29.62,10.0,51,51
48.0,93.0,30.06,3.0,37,37
57.9,75.0,29.93,10.0,4,4
76.0,35.0,29.9,10.0,9,9
68.0,100.0,29.79,10.0,37,37
59.0,77.0,29.89,10.0,51,51
62.0,86.0,29.78,2.0,37,37
59.0,72.0,30.09,10.0,54,54
55.9,90.0,30.05,10.0,56,56
77.0,14.0,29.29,10.0,9,9
55.0,89.0,30.18,6.0,37,37
59.0,58.0,29.48,10.0,51,51
88.0,12.0,27.19,10.0,9,9
71.0,24.0,29.76,10.0,9,9
54.0,75.0,29.56,8.0,37,37
81.0,14.0,29.83,10.0,9,9
71.1,68.0,30.06,10.0,4,4
77.0,76.0,30.14,10.0,56,56
61.0,50.0,26.01,10.0,9,9
62.0,100.0,29.76,7.0,5,5
83.0,42.0,29.91,10.0,56,56
24.0,60.0,30.06,10.0,9,9
70.0,87.0,29.87,10.0,5,5
72.0,94.0,30.11,6.0,17,17
32.0,75.0,29.56,9.0,9,9
70.0,33.0,29.91,10.0,9,9
86.0,46.0,29.95,10.0,9,9
70.0,93.0,30.09,9.0,64,64
63.0,52.0,29.59,10.0,9,9
59.0,90.0,29.71,10.0,9,9
29.0,78.0,25.35,10.0,9,9
65.0,50.0,25.03,10.0,9,9
67.0,93.0,28.85,8.0,37,37
65.0,15.0,29.76,10.0,9,9
49.0,59.0,28.15,10.0,56,56
21.0,71.0,29.36,10.0,5,5
75.9,54.0,30.14,10.0,51,51
73.4,88.0,29.87,7.0,51,51
71.0,51.0,29.02,10.0,51,51
73.9,38.0,30.11,10.0,4,4
72.0,16.0,28.83,10.0,9,9
73.0,90.0,29.75,5.0,5,5
55.9,87.0,29.96,5.0,37,37
79.0,44.0,29.33,10.0,51,51
64.0,94.0,29.03,3.0,20,20
65.0,33.0,29.16,10.0,9,9
61.0,67.0,30.06,10.0,4,4
103.0,14.0,29.24,10.0,9,9
71.6,78.0,29.54,10.0,64,64
39.0,82.0,29.08,8.0,37,37
43.0,47.0,30.49,10.0,54,54
43.0,57.0,28.77,10.0,9,9
69.0,51.0,29.79,10.0,51,51
75.0,40.0,29.86,10.0,4,4
95.0,11.0,28.7,10.0,9,9
71.1,44.0,29.96,10.0,4,4
66.0,59.0,29.81,10.0,56,56
72.0,69.0,29.76,10.0,9,9
69.8,100.0,30.08,4.0,51,51
70.0,81.0,30.06,10.0,9,9
62.6,77.0,30.07,10.0,64,64
75.0,66.0,29.94,10.0,54,54
33.0,82.0,29.62,0.5,71,71
27.0,78.0,29.32,8.0,5,5
82.0,28.0,29.89,10.0,4,4
86.0,70.0,29.88,10.0,9,9
82.9,77.0,30.09,10.0,51,51
36.0,93.0,25.37,8.0,37,37
41.0,93.0,29.83,10.0,5,5
53.0,93.0,30.05,10.0,5,5
74.8,91.0,29.98,10.0,54,54
50.0,100.0,29.9,1.8,59,59
86.0,48.0,28.89,10.0,9,9
75.0,55.0,29.71,10.0,9,9
60.8,59.0,30.1,10.0,4,4
63.0,90.0,29.67,10.0,37,37
69.0,90.0,27.46,10.0,42,42
79.0,53.0,29.01,10.0,56,56
64.0,67.0,29.86,10.0,84,84
40.0,49.0,30.18,10.0,84,84
75.0,86.0,28.69,10.0,9,9
72.0,55.0,29.65,10.0,9,9
73.4,100.0,29.78,10.0,54,54
75.0,64.0,30.27,10.0,51,51
84.0,34.0,29.76,10.0,9,9
25.0,93.0,28.46,10.0,51,51
52.0,59.0,29.84,10.0,64,64
95.0,40.0,29.71,10.0,56,56
84.9,74.0,30.07,10.0,4,4
73.0,100.0,29.92,10.0,4,4
62.0,39.0,29.9,10.0,51,51
82.0,23.0,29.81,10.0,5,5
62.0,100.0,29.93,10.0,9,9
43.0,76.0,29.95,10.0,54,54
17.0,74.0,25.41,9.0,6,6
59.0,81.0,29.09,5.0,5,5
37.0,93.0,29.27,10.0,5,5
52.0,59.0,29.76,10.0,9,9
55.0,28.0,30.15,10.0,4,4
57.0,67.0,29.54,10.0,51,51
89.1,27.0,29.82,10.0,4,4
89.0,59.0,29.03,10.0,51,51
73.0,55.0,29.92,10.0,4,4
78.0,62.0,30.02,10.0,56,56
71.4,10.0,29.93,10.0,4,4
67.8,69.0,30.04,10.0,4,4
93.2,16.0,29.74,9.0,4,4
71.0,96.0,29.21,10.0,9,9
82.0,71.0,28.65,10.0,9,9
33.1,85.0,30.5,8.0,4,4
64.0,67.0,29.86,10.0,84,84
83.0,54.0,29.89,10.0,9,9
78.1,54.0,29.91,10.0,51,51
56.0,93.0,29.13,2.0,11,11
74.0,93.0,30.02,10.0,5,5
74.0,71.0,29.05,10.0,9,9
75.0,51.0,29.89,10.0,9,9
67.0,79.0,29.21,10.0,56,56
41.9,83.0,30.22,10.0,54,54
56.0,44.0,26.07,10.0,9,9
72.0,93.0,29.26,10.0,5,5
49.0,39.0,30.03,10.0,9,9
41.0,61.0,30.23,10.0,9,9
86.0,77.0,30.01,10.0,64,64
69.1,90.0,30.08,10.0,37,37
83.0,77.0,29.71,9.0,9,9
54.0,57.0,29.91,10.0,9,9
73.4,83.0,30.1,10.0,54,54
71.6,69.0,29.88,10.0,4,4
62.1,84.0,30.39,10.0,4,4
82.0,85.0,29.82,10.0,9,9
19.0,81.0,29.97,10.0,5,5
59.0,55.0,29.93,10.0,56,56
59.0,81.0,29.9,10.0,56,56
75.0,96.0,29.85,4.0,37,37
36.0,62.0,29.36,10.0,9,9
51.1,89.0,29.89,9.0,37,37
55.9,90.0,30.07,10.0,4,4
73.0,66.0,29.94,10.0,51,51
41.0,27.0,30.07,10.0,9,9
73.0,48.0,30.01,10.0,4,4
78.0,90.0,29.51,10.0,51,51
66.0,75.0,29.36,10.0,51,51
66.9,81.0,30.01,4.0,37,37
78.0,54.0,29.93,10.0,51,51
91.0,50.0,29.87,10.0,9,9
53.1,83.0,30.2,10.0,4,4
82.0,60.0,28.79,10.0,51,51
77.0,94.0,29.83,2.0,20,20
51.8,100.0,30.09,10.0,54,54
29.0,82.0,28.79,10.0,5,5
67.0,36.0,29.63,10.0,9,9
74.0,100.0,29.67,6.0,5,5
85.0,59.0,29.09,10.0,56,56
68.0,24.0,29.93,10.0,9,9
66.0,56.0,29.76,10.0,51,51
53.0,37.0,28.13,10.0,9,9
77.0,55.0,29.13,10.0,9,9
83.0,79.0,29.89,10.0,51,51
91.0,34.0,29.46,10.0,56,56
57.0,94.0,30.25,10.0,9,9
68.0,52.0,30.02,10.0,5,5
61.0,34.0,29.24,10.0,5,5
70.0,35.0,29.38,10.0,9,9
68.0,87.0,30.0,10.0,51,51
57.0,83.0,29.93,10.0,9,9
25.0,92.0,29.75,3.0,54,54
97.0,40.0,29.8,10.0,4,4
66.9,47.0,30.07,10.0,51,51
63.3,82.0,30.09,10.0,54,54
68.0,12.0,29.02,10.0,9,9
54.0,80.0,30.34,6.0,17,17
82.9,56.0,30.05,10.0,4,4
63.0,100.0,29.71,3.0,76,76
42.0,47.0,29.52,10.0,5,5
49.0,97.0,28.46,2.0,37,37
34.0,93.0,28.94,1.0,86,86
37.0,82.0,29.98,10.0,51,51
63.0,60.0,29.99,10.0,56,56
63.0,100.0,29.59,6.0,51,51
90.0,35.0,29.94,10.0,9,9
37.0,75.0,23.85,10.0,6,6
81.0,79.0,29.73,6.0,37,37
62.0,43.0,29.89,10.0,51,51
41.0,100.0,30.05,10.0,9,9
30.0,72.0,29.79,9.0,44,44
60.0,90.0,30.11,10.0,37,37
79.0,74.0,30.1,10.0,9,9
